filename,filepath,prediction,confidence,spoof_prob,decision_score,pooling,spoof_prob_mean,spoof_prob_median,spoof_prob_trimmed,spoof_prob_logit_mean,pct_chunks_above_chunk_threshold,threshold,effective_threshold,chunk_threshold,vote_threshold,attack_type,attack_type_idx,attack_type_conf,attack_probs,n_chunks,n_chunks_total,n_chunks_used,vad_min_speech_ratio,vad_rms_percentile,vad_mode,vad_db_threshold,vad_fallback_all,speech_ratio_mean_used,speech_ratio_median_used,vad_file_rms_threshold,env_features,env_reasons,spec_reasons,overall_explanation
imran_khan_f1.wav,E:\FYP\testing_audios\pakistani\imran_khan_f1.wav,FAKE,0.7415730337078652,0.7415730337078652,0.7415730337078652,pct_vote,0.7305871248245239,0.948441743850708,0.7877985239028931,0.97412109375,0.7415730337078652,0.65,0.7,0.65,0.7,conversion,2,0.4357667565345764,"[0.32683125138282776, 0.23739981651306152, 0.4357667565345764, 2.224900754299597e-06]",89,93,89,0.4,40.0,file_percentile,-45.0,False,0.6322676454930091,0.6259351620947631,0.07779083400964737,"{'rt60': 0.0, 'drr': 0.223817378282547, 'snr': 8.615777969360352, 'background_level': -23.341596603393555, 'silence_ratio': 0.1031746044754982, 'spectral_tilt': -1.3378163576126099, 'spectral_flatness': 0.005556910764425993, 'spectral_rolloff': 1783.172119140625, 'cleanliness_score': 0.0, 'high_freq_content': 0.00200181663967669, 'background_consistency': 0.750718355178833, 'env_stability': 0.5}",['RT60 ≈ 0.0s → little/no measurable reverberation (can indicate synthetic or heavily processed audio).'],"['Chunk consistency: spoof prob range [0.001, 1.000] across 89 chunks.', 'Chunk scores vary a lot → the model is uncertain or the audio contains mixed-quality segments.', 'Pooling=pct_vote: mean=0.731, median=0.948, trimmed=0.788, logit_mean=0.974, pct_over_chunk_threshold=0.742', 'VAD(file_percentile) kept 89/93 chunks (min speech ratio=0.40).', 'pct_vote thresholds: chunk_threshold=0.650, vote_threshold=0.700.']","Model predicts FAKE (decision_score=0.742, pooling=pct_vote, threshold=0.700). Most likely attack type: conversion (conf=0.436)."
imran_khan_f2.wav,E:\FYP\testing_audios\pakistani\imran_khan_f2.wav,REAL,0.38888888888888884,0.6111111111111112,0.6111111111111112,pct_vote,0.614844560623169,0.8095327615737915,0.6459091305732727,0.892578125,0.6111111111111112,0.65,0.7,0.65,0.7,conversion,2,0.4440361261367798,"[0.41814157366752625, 0.1378135085105896, 0.4440361261367798, 8.825410986901261e-06]",36,39,36,0.4,40.0,file_percentile,-45.0,False,0.6160986422831809,0.6084788029925188,0.1021047905087471,"{'rt60': 0.0, 'drr': 0.22953177988529205, 'snr': 9.099837303161621, 'background_level': -23.57391357421875, 'silence_ratio': 0.1031746044754982, 'spectral_tilt': -1.3802165985107422, 'spectral_flatness': 0.004125571344047785, 'spectral_rolloff': 1750.9610595703125, 'cleanliness_score': 0.0, 'high_freq_content': 0.0020192121155560017, 'background_consistency': 0.6857886910438538, 'env_stability': 0.5}",['RT60 ≈ 0.0s → little/no measurable reverberation (can indicate synthetic or heavily processed audio).'],"['Chunk consistency: spoof prob range [0.000, 1.000] across 36 chunks.', 'Chunk scores vary a lot → the model is uncertain or the audio contains mixed-quality segments.', 'Pooling=pct_vote: mean=0.615, median=0.810, trimmed=0.646, logit_mean=0.893, pct_over_chunk_threshold=0.611', 'VAD(file_percentile) kept 36/39 chunks (min speech ratio=0.40).', 'pct_vote thresholds: chunk_threshold=0.650, vote_threshold=0.700.']","Model predicts REAL (bonafide) with confidence=0.389 (pooling=pct_vote, threshold=0.700)."
imran_khan_f3.wav,E:\FYP\testing_audios\pakistani\imran_khan_f3.wav,FAKE,0.7333333333333333,0.7333333333333333,0.7333333333333333,pct_vote,0.7621136903762817,0.9721837639808655,0.8271587491035461,0.990234375,0.7333333333333333,0.65,0.7,0.65,0.7,conversion,2,0.5659889578819275,"[0.2677735686302185, 0.16623611748218536, 0.5659889578819275, 1.354626078864385e-06]",30,31,30,0.4,40.0,file_percentile,-45.0,False,0.5900249376558604,0.57356608478803,0.063167504966259,"{'rt60': 0.0, 'drr': 0.30026453733444214, 'snr': 13.663885116577148, 'background_level': -27.600908279418945, 'silence_ratio': 0.1031746044754982, 'spectral_tilt': -1.2780911922454834, 'spectral_flatness': 0.008053656667470932, 'spectral_rolloff': 2007.967529296875, 'cleanliness_score': 0.0, 'high_freq_content': 0.004178408533334732, 'background_consistency': 0.6433565020561218, 'env_stability': 0.5}",['RT60 ≈ 0.0s → little/no measurable reverberation (can indicate synthetic or heavily processed audio).'],"['Chunk consistency: spoof prob range [0.000, 1.000] across 30 chunks.', 'Chunk scores vary a lot → the model is uncertain or the audio contains mixed-quality segments.', 'Pooling=pct_vote: mean=0.762, median=0.972, trimmed=0.827, logit_mean=0.990, pct_over_chunk_threshold=0.733', 'VAD(file_percentile) kept 30/31 chunks (min speech ratio=0.40).', 'pct_vote thresholds: chunk_threshold=0.650, vote_threshold=0.700.']","Model predicts FAKE (decision_score=0.733, pooling=pct_vote, threshold=0.700). Most likely attack type: conversion (conf=0.566)."
imran_khan_r2.wav,E:\FYP\testing_audios\pakistani\imran_khan_r2.wav,FAKE,0.8275862068965517,0.8275862068965517,0.8275862068965517,pct_vote,0.8245853781700134,0.998981773853302,0.9091737270355225,1.0,0.8275862068965517,0.65,0.7,0.65,0.7,synthesis,1,0.618040144443512,"[0.1749991923570633, 0.618040144443512, 0.10836968570947647, 0.09859099239110947]",29,29,29,0.4,40.0,file_percentile,-45.0,False,0.6082208272422392,0.5910224438902744,0.02154695801436901,"{'rt60': 0.0, 'drr': 0.22172962129116058, 'snr': 14.53108024597168, 'background_level': -36.02305221557617, 'silence_ratio': 0.1031746044754982, 'spectral_tilt': -0.9622882008552551, 'spectral_flatness': 0.020810909569263458, 'spectral_rolloff': 3400.669677734375, 'cleanliness_score': 0.0, 'high_freq_content': 0.009754589758813381, 'background_consistency': 0.8228813409805298, 'env_stability': 1.0}",['RT60 ≈ 0.0s → little/no measurable reverberation (can indicate synthetic or heavily processed audio).'],"['Chunk consistency: spoof prob range [0.000, 1.000] across 29 chunks.', 'Chunk scores vary a lot → the model is uncertain or the audio contains mixed-quality segments.', 'Pooling=pct_vote: mean=0.825, median=0.999, trimmed=0.909, logit_mean=1.000, pct_over_chunk_threshold=0.828', 'VAD(file_percentile) kept 29/29 chunks (min speech ratio=0.40).', 'pct_vote thresholds: chunk_threshold=0.650, vote_threshold=0.700.']","Model predicts FAKE (decision_score=0.828, pooling=pct_vote, threshold=0.700). Most likely attack type: synthesis (conf=0.618)."
imran_khan_r3.wav,E:\FYP\testing_audios\pakistani\imran_khan_r3.wav,FAKE,0.9411764705882353,0.9411764705882353,0.9411764705882353,pct_vote,0.9350950717926025,0.9999648928642273,0.9875767827033997,1.0,0.9411764705882353,0.65,0.7,0.65,0.7,synthesis,1,0.6583683490753174,"[0.09050597250461578, 0.6583683490753174, 0.25112566351890564, 3.931857861516619e-08]",34,44,34,0.4,40.0,file_percentile,-45.0,False,0.6882059556989878,0.6758104738154613,0.17158617079257965,"{'rt60': 0.0, 'drr': 0.26754820346832275, 'snr': 8.517889022827148, 'background_level': -16.64869499206543, 'silence_ratio': 0.1031746044754982, 'spectral_tilt': -0.9448680281639099, 'spectral_flatness': 0.022538552060723305, 'spectral_rolloff': 3577.22607421875, 'cleanliness_score': 0.0, 'high_freq_content': 0.013617077842354774, 'background_consistency': 0.8118623495101929, 'env_stability': 1.0}",['RT60 ≈ 0.0s → little/no measurable reverberation (can indicate synthetic or heavily processed audio).'],"['Chunk consistency: spoof prob range [0.014, 1.000] across 34 chunks.', 'Chunk scores vary a lot → the model is uncertain or the audio contains mixed-quality segments.', 'Pooling=pct_vote: mean=0.935, median=1.000, trimmed=0.988, logit_mean=1.000, pct_over_chunk_threshold=0.941', 'VAD(file_percentile) kept 34/44 chunks (min speech ratio=0.40).', 'pct_vote thresholds: chunk_threshold=0.650, vote_threshold=0.700.']","Model predicts FAKE (decision_score=0.941, pooling=pct_vote, threshold=0.700). Most likely attack type: synthesis (conf=0.658)."
imran_khan_real1.wav,E:\FYP\testing_audios\pakistani\imran_khan_real1.wav,FAKE,0.96,0.96,0.96,pct_vote,0.9773240089416504,0.9999409914016724,0.9980963468551636,1.0,0.96,0.65,0.7,0.65,0.7,synthesis,1,0.564257800579071,"[0.03355243802070618, 0.564257800579071, 0.4021896719932556, 1.2628338197373523e-07]",25,25,25,0.4,40.0,file_percentile,-45.0,False,0.59571072319202,0.6184538653366584,0.04235018417239189,"{'rt60': 0.0, 'drr': 0.27196773886680603, 'snr': 12.247004508972168, 'background_level': -31.21108055114746, 'silence_ratio': 0.1031746044754982, 'spectral_tilt': -1.2818554639816284, 'spectral_flatness': 0.0064832973293960094, 'spectral_rolloff': 2389.198974609375, 'cleanliness_score': 0.0, 'high_freq_content': 0.0019088464323431253, 'background_consistency': 0.7922549843788147, 'env_stability': 1.0}",['RT60 ≈ 0.0s → little/no measurable reverberation (can indicate synthetic or heavily processed audio).'],"['Chunk consistency: spoof prob range [0.533, 1.000] across 25 chunks.', 'Chunk scores are consistent → model decision is stable across the file.', 'Pooling=pct_vote: mean=0.977, median=1.000, trimmed=0.998, logit_mean=1.000, pct_over_chunk_threshold=0.960', 'VAD(file_percentile) kept 25/25 chunks (min speech ratio=0.40).', 'pct_vote thresholds: chunk_threshold=0.650, vote_threshold=0.700.']","Model predicts FAKE (decision_score=0.960, pooling=pct_vote, threshold=0.700). Most likely attack type: synthesis (conf=0.564)."
saqib_nisar_f1.wav,E:\FYP\testing_audios\pakistani\saqib_nisar_f1.wav,FAKE,1.0,1.0,1.0,pct_vote,0.9921389222145081,0.9999934434890747,0.9963266253471375,1.0,1.0,0.65,0.7,0.65,0.7,synthesis,1,0.6671555638313293,"[0.013179604895412922, 0.6671555638313293, 0.24094051122665405, 0.07872428745031357]",12,12,12,0.4,40.0,file_percentile,-45.0,False,0.5993349958437241,0.5760598503740648,0.06613873690366745,"{'rt60': 0.0, 'drr': 0.31688204407691956, 'snr': 12.259160995483398, 'background_level': -25.241104125976562, 'silence_ratio': 0.1031746044754982, 'spectral_tilt': -2.2014098167419434, 'spectral_flatness': 0.0008484129793941975, 'spectral_rolloff': 1657.738037109375, 'cleanliness_score': 0.0, 'high_freq_content': 2.542164111218881e-05, 'background_consistency': 0.6633361577987671, 'env_stability': 1.0}",['RT60 ≈ 0.0s → little/no measurable reverberation (can indicate synthetic or heavily processed audio).'],"['Chunk consistency: spoof prob range [0.942, 1.000] across 12 chunks.', 'Chunk scores are consistent → model decision is stable across the file.', 'Pooling=pct_vote: mean=0.992, median=1.000, trimmed=0.996, logit_mean=1.000, pct_over_chunk_threshold=1.000', 'VAD(file_percentile) kept 12/12 chunks (min speech ratio=0.40).', 'pct_vote thresholds: chunk_threshold=0.650, vote_threshold=0.700.']","Model predicts FAKE (decision_score=1.000, pooling=pct_vote, threshold=0.700). Most likely attack type: synthesis (conf=0.667)."
saqib_nisar_son_r1.wav,E:\FYP\testing_audios\pakistani\saqib_nisar_son_r1.wav,FAKE,0.9,0.9,0.9,pct_vote,0.9182325601577759,1.0,0.9969298839569092,1.0,0.9,0.65,0.7,0.65,0.7,conversion,2,0.9277707934379578,"[0.07151941955089569, 0.0007097703637555242, 0.9277707934379578, 2.2865531690285934e-08]",40,45,40,0.4,40.0,file_percentile,-45.0,False,0.6342892768079801,0.6109725685785536,0.0406530387699604,"{'rt60': 0.0, 'drr': 0.3004779815673828, 'snr': 15.821749687194824, 'background_level': -35.058349609375, 'silence_ratio': 0.1031746044754982, 'spectral_tilt': -1.535784125328064, 'spectral_flatness': 0.0034505256917327642, 'spectral_rolloff': 2608.3828125, 'cleanliness_score': 0.0, 'high_freq_content': 0.0003850166976917535, 'background_consistency': 0.603717565536499, 'env_stability': 1.0}",['RT60 ≈ 0.0s → little/no measurable reverberation (can indicate synthetic or heavily processed audio).'],"['Chunk consistency: spoof prob range [0.000, 1.000] across 40 chunks.', 'Chunk scores vary a lot → the model is uncertain or the audio contains mixed-quality segments.', 'Pooling=pct_vote: mean=0.918, median=1.000, trimmed=0.997, logit_mean=1.000, pct_over_chunk_threshold=0.900', 'VAD(file_percentile) kept 40/45 chunks (min speech ratio=0.40).', 'pct_vote thresholds: chunk_threshold=0.650, vote_threshold=0.700.']","Model predicts FAKE (decision_score=0.900, pooling=pct_vote, threshold=0.700). Most likely attack type: conversion (conf=0.928)."
synthetic_f1.wav,E:\FYP\testing_audios\synthetic_fake\synthetic_f1.wav,FAKE,0.9,0.9,0.9,pct_vote,0.9019815325737,0.9512697458267212,0.9277108907699585,0.97998046875,0.9,0.65,0.7,0.65,0.7,synthesis,1,0.4681064486503601,"[0.21437975764274597, 0.4681064486503601, 0.3175138235092163, 4.100359518588448e-08]",20,20,20,0.4,40.0,file_percentile,-45.0,False,0.5870324189526184,0.5960099750623441,0.05813157930970192,"{'rt60': 0.0, 'drr': 0.3161313235759735, 'snr': 9.849600791931152, 'background_level': -29.07799530029297, 'silence_ratio': 0.1031746044754982, 'spectral_tilt': -1.0372838973999023, 'spectral_flatness': 0.01791505515575409, 'spectral_rolloff': 3804.966552734375, 'cleanliness_score': 0.0, 'high_freq_content': 0.0919901430606842, 'background_consistency': 0.7003424167633057, 'env_stability': 1.0}",['RT60 ≈ 0.0s → little/no measurable reverberation (can indicate synthetic or heavily processed audio).'],"['Chunk consistency: spoof prob range [0.597, 1.000] across 20 chunks.', 'Chunk scores are consistent → model decision is stable across the file.', 'Pooling=pct_vote: mean=0.902, median=0.951, trimmed=0.928, logit_mean=0.980, pct_over_chunk_threshold=0.900', 'VAD(file_percentile) kept 20/20 chunks (min speech ratio=0.40).', 'pct_vote thresholds: chunk_threshold=0.650, vote_threshold=0.700.']","Model predicts FAKE (decision_score=0.900, pooling=pct_vote, threshold=0.700). Most likely attack type: synthesis (conf=0.468)."
trump_f1.wav,E:\FYP\testing_audios\trump\trump_f1.wav,FAKE,1.0,1.0,1.0,pct_vote,0.9994089007377625,1.0,0.9999919533729553,1.0,1.0,0.65,0.7,0.65,0.7,conversion,2,0.826202392578125,"[0.0013265807647258043, 0.17247098684310913, 0.826202392578125, 1.8215738639693058e-10]",47,48,47,0.4,40.0,file_percentile,-45.0,False,0.5956916220088078,0.6059850374064838,0.02248275838792324,"{'rt60': 0.0, 'drr': 0.3076816201210022, 'snr': 16.05364990234375, 'background_level': -36.25343704223633, 'silence_ratio': 0.1031746044754982, 'spectral_tilt': -0.8877894282341003, 'spectral_flatness': 0.030423469841480255, 'spectral_rolloff': 2957.09326171875, 'cleanliness_score': 0.0, 'high_freq_content': 0.004512307699769735, 'background_consistency': 0.6055200099945068, 'env_stability': 1.0}",['RT60 ≈ 0.0s → little/no measurable reverberation (can indicate synthetic or heavily processed audio).'],"['Chunk consistency: spoof prob range [0.978, 1.000] across 47 chunks.', 'Chunk scores are consistent → model decision is stable across the file.', 'Pooling=pct_vote: mean=0.999, median=1.000, trimmed=1.000, logit_mean=1.000, pct_over_chunk_threshold=1.000', 'VAD(file_percentile) kept 47/48 chunks (min speech ratio=0.40).', 'pct_vote thresholds: chunk_threshold=0.650, vote_threshold=0.700.']","Model predicts FAKE (decision_score=1.000, pooling=pct_vote, threshold=0.700). Most likely attack type: conversion (conf=0.826)."
